ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h,NOx|PMC|PMFINE|PMT|VOC|SO2|CO|CO2
25,34,4.576202,-74.098946,PM10,g/h,0,0,0,0,0,0,0,21.01116796,21.01116796,21.01116796,21.01116796,21.01116796,0,21.01116796,21.01116796,21.01116796,21.01116796,21.01116796,21.01116796,0,0,0,0,0,0,
26,34,4.585175,-74.098946,PM10,g/h,0,0,0,0,0,0,0,26.43111307,26.43111307,26.43111307,26.43111307,26.43111307,0,26.43111307,26.43111307,26.43111307,26.43111307,26.43111307,26.43111307,0,0,0,0,0,0,
27,31,4.594131,-74.125923,PM10,g/h,0,0,0,0,0,0,0,2.26675665,2.26675665,2.26675665,2.26675665,2.26675665,0,2.26675665,2.26675665,2.26675665,2.26675665,2.26675665,2.26675665,0,0,0,0,0,0,
27,34,4.594131,-74.098946,PM10,g/h,0,0,0,0,0,0,0,6.717651465,6.717651465,6.717651465,6.717651465,6.717651465,0,6.717651465,6.717651465,6.717651465,6.717651465,6.717651465,6.717651465,0,0,0,0,0,0,
28,30,4.603096,-74.134918,PM10,g/h,0,0,0,0,0,0,0,21.26192198,21.26192198,21.26192198,21.26192198,21.26192198,0,21.26192198,21.26192198,21.26192198,21.26192198,21.26192198,21.26192198,0,0,0,0,0,0,
28,31,4.603096,-74.125923,PM10,g/h,0,0,0,0,0,0,0,12.15871187,12.15871187,12.15871187,12.15871187,12.15871187,0,12.15871187,12.15871187,12.15871187,12.15871187,12.15871187,12.15871187,0,0,0,0,0,0,
28,33,4.603096,-74.107941,PM10,g/h,0,0,0,0,0,0,0,23.55417754,23.55417754,23.55417754,23.55417754,23.55417754,0,23.55417754,23.55417754,23.55417754,23.55417754,23.55417754,23.55417754,0,0,0,0,0,0,
28,34,4.603096,-74.098946,PM10,g/h,0,0,0,0,0,0,0,111.9486352,111.9486352,111.9486352,111.9486352,111.9486352,0,111.9486352,111.9486352,111.9486352,111.9486352,111.9486352,111.9486352,0,0,0,0,0,0,
28,35,4.603096,-74.089951,PM10,g/h,0,0,0,0,0,0,0,9.576805848,9.576805848,9.576805848,9.576805848,9.576805848,0,9.576805848,9.576805848,9.576805848,9.576805848,9.576805848,9.576805848,0,0,0,0,0,0,
29,32,4.612068,-74.116936,PM10,g/h,0,0,0,0,0,0,0,6.368988249,6.368988249,6.368988249,6.368988249,6.368988249,0,6.368988249,6.368988249,6.368988249,6.368988249,6.368988249,6.368988249,0,0,0,0,0,0,
29,33,4.612068,-74.107941,PM10,g/h,0,0,0,0,0,0,0,2.615887371,2.615887371,2.615887371,2.615887371,2.615887371,0,2.615887371,2.615887371,2.615887371,2.615887371,2.615887371,2.615887371,0,0,0,0,0,0,
29,35,4.612068,-74.089951,PM10,g/h,0,0,0,0,0,0,0,79.11923926,79.11923926,79.11923926,79.11923926,79.11923926,0,79.11923926,79.11923926,79.11923926,79.11923926,79.11923926,79.11923926,0,0,0,0,0,0,
30,33,4.621033,-74.107941,PM10,g/h,0,0,0,0,0,0,0,21.45421069,21.45421069,21.45421069,21.45421069,21.45421069,0,21.45421069,21.45421069,21.45421069,21.45421069,21.45421069,21.45421069,0,0,0,0,0,0,
30,36,4.621033,-74.080956,PM10,g/h,0,0,0,0,0,0,0,0.795069124,0.795069124,0.795069124,0.795069124,0.795069124,0,0.795069124,0.795069124,0.795069124,0.795069124,0.795069124,0.795069124,0,0,0,0,0,0,
31,32,4.629997,-74.116936,PM10,g/h,0,0,0,0,0,0,0,5.707670548,5.707670548,5.707670548,5.707670548,5.707670548,0,5.707670548,5.707670548,5.707670548,5.707670548,5.707670548,5.707670548,0,0,0,0,0,0,
31,33,4.629997,-74.107941,PM10,g/h,0,0,0,0,0,0,0,22.42418888,22.42418888,22.42418888,22.42418888,22.42418888,0,22.42418888,22.42418888,22.42418888,22.42418888,22.42418888,22.42418888,0,0,0,0,0,0,
32,37,4.638962,-74.07196,PM10,g/h,0,0,0,0,0,0,0,2.107236641,2.107236641,2.107236641,2.107236641,2.107236641,0,2.107236641,2.107236641,2.107236641,2.107236641,2.107236641,2.107236641,0,0,0,0,0,0,
33,36,4.647919,-74.080956,PM10,g/h,0,0,0,0,0,0,0,22.25374974,22.25374974,22.25374974,22.25374974,22.25374974,0,22.25374974,22.25374974,22.25374974,22.25374974,22.25374974,22.25374974,0,0,0,0,0,0,
34,36,4.656898,-74.080956,PM10,g/h,0,0,0,0,0,0,0,12.08674816,12.08674816,12.08674816,12.08674816,12.08674816,0,12.08674816,12.08674816,12.08674816,12.08674816,12.08674816,12.08674816,0,0,0,0,0,0,
34,37,4.656898,-74.07196,PM10,g/h,0,0,0,0,0,0,0,6.454567827,6.454567827,6.454567827,6.454567827,6.454567827,0,6.454567827,6.454567827,6.454567827,6.454567827,6.454567827,6.454567827,0,0,0,0,0,0,
35,37,4.665855,-74.07196,PM10,g/h,0,0,0,0,0,0,0,4.497130658,4.497130658,4.497130658,4.497130658,4.497130658,0,4.497130658,4.497130658,4.497130658,4.497130658,4.497130658,4.497130658,0,0,0,0,0,0,
35,38,4.665855,-74.062965,PM10,g/h,0,0,0,0,0,0,0,12.83944186,12.83944186,12.83944186,12.83944186,12.83944186,0,12.83944186,12.83944186,12.83944186,12.83944186,12.83944186,12.83944186,0,0,0,0,0,0,
35,39,4.665855,-74.05397,PM10,g/h,0,0,0,0,0,0,0,5.617255814,5.617255814,5.617255814,5.617255814,5.617255814,0,5.617255814,5.617255814,5.617255814,5.617255814,5.617255814,5.617255814,0,0,0,0,0,0,
