SOURCE,PROFID,POLID,SPCID,SPLITFAC,DIVISOR,MASSFRAC
CANT,92022.0,PM2_5,POC,0.0538,1.0,0.0538
CANT,92022.0,PM2_5,PEC,0.00205,1.0,0.00205
CANT,92022.0,PM2_5,PNH4,0.00125,1.0,0.00125
CANT,92022.0,PM2_5,PNO3,0.000588,1.0,0.000588
CANT,92022.0,PM2_5,PSO4,0.0018,1.0,0.0018
CANT,92022.0,PM2_5,PNCOM,0.0215,1.0,0.0215
CANT,92022.0,PM2_5,PH2O,0.000732,1.0,0.000732
CANT,92022.0,PM2_5,PNA,0.00316,1.0,0.00316
CANT,92022.0,PM2_5,PMG,0.00723,1.0,0.00723
CANT,92022.0,PM2_5,PAL,0.0679,1.0,0.0679
CANT,92022.0,PM2_5,PSI,0.221,1.0,0.221
CANT,92022.0,PM2_5,PCL,0.000514,1.0,0.000514
CANT,92022.0,PM2_5,PK,0.0188,1.0,0.0188
CANT,92022.0,PM2_5,PCA,0.0381,1.0,0.0381
CANT,92022.0,PM2_5,PTI,0.00462,1.0,0.00462
CANT,92022.0,PM2_5,PMN,0.000955,1.0,0.000955
CANT,92022.0,PM2_5,PFE,0.0438,1.0,0.0438
CANT,92022.0,PM2_5,PMOTHR,0.512201,1.0,0.512201
