SOURCE,PROFID,POLID,SPCID,SPLITFAC,DIVISOR,MASSFRAC
CANT,92022.0,PM2_5,POC,0.0525,1.0,0.0525
CANT,92022.0,PM2_5,PEC,0.0147,1.0,0.0147
CANT,92022.0,PM2_5,PNO3,0.00271,1.0,0.00271
CANT,92022.0,PM2_5,PSO4,0.141,1.0,0.141
CANT,92022.0,PM2_5,PNCOM,0.021,1.0,0.021
CANT,92022.0,PM2_5,PH2O,0.0337,1.0,0.0337
CANT,92022.0,PM2_5,PNA,0.04325842735454837,1.0,0.04325842735454837
CANT,92022.0,PM2_5,PMG,0.009678556734169078,1.0,0.009678556734169078
CANT,92022.0,PM2_5,PAL,0.06226144728383155,1.0,0.06226144728383155
CANT,92022.0,PM2_5,PSI,0.2606718603342976,1.0,0.2606718603342976
CANT,92022.0,PM2_5,PK,0.03853718016714883,1.0,0.03853718016714883
CANT,92022.0,PM2_5,PCA,0.2909468579234972,1.0,0.2909468579234972
CANT,92022.0,PM2_5,PTI,0.003954044519447123,1.0,0.003954044519447123
CANT,92022.0,PM2_5,PMN,0.00209505343940855,1.0,0.00209505343940855
CANT,92022.0,PM2_5,PFE,0.02298657224365156,1.0,0.02298657224365156
